,ID,full_name,club,age,league,height_cm,weight_kg,puntaje_global,potencia,ritmo,disparos,pases,amagues,defensa,físico
1,158023,Lionel Messi,FC Barcelona,30,Spanish Primera División,170.0,72.0,alto,93,89,90,86,96,26,61
9,167664,Gonzalo Higuaín,Juventus,29,Italian Serie A,184.0,87.0,alto,90,79,87,70,83,25,74
16,153079,Sergio Agüero,Manchester City,29,English Premier League,173.0,70.0,alto,89,87,88,75,89,23,72
19,211110,Paulo Dybala,Juventus,23,Italian Serie A,177.0,73.0,alto,93,86,85,81,91,24,67
85,183898,Ángel Di María,Paris Saint-Germain,29,French Ligue 1,180.0,75.0,alto,85,86,77,82,86,47,68
102,201399,Mauro Icardi,Inter,24,Italian Serie A,181.0,75.0,alto,89,78,83,61,75,26,70
125,143076,Alejandro Gómez,Atalanta,29,Italian Serie A,165.0,68.0,alto,84,90,77,80,89,31,58
131,215316,Gerónimo Rulli,Real Sociedad,25,Spanish Primera División,189.0,84.0,alto,89,85,79,75,86,51,82
156,192366,Nicolás Otamendi,Manchester City,29,English Premier League,183.0,81.0,alto,83,63,56,59,54,83,81
157,191180,Javier Pastore,Paris Saint-Germain,28,French Ligue 1,187.0,78.0,alto,83,71,75,83,85,58,64
165,186547,Mateo Musacchio,Milan,26,Italian Serie A,180.0,73.0,alto,86,70,51,67,58,84,78
170,184144,Nicolás Gaitán,Atlético Madrid,29,Spanish Primera División,173.0,68.0,alto,83,81,74,81,85,39,55
174,178562,Éver Banega,Sevilla FC,29,Spanish Primera División,174.0,71.0,alto,83,69,70,85,84,62,67
181,170481,Ezequiel Garay,Valencia CF,30,Spanish Primera División,189.0,90.0,alto,83,43,64,66,64,84,80
187,158963,Lucas Biglia,Milan,31,Italian Serie A,178.0,63.0,alto,83,69,63,81,80,75,75
190,142754,Javier Mascherano,FC Barcelona,33,Spanish Primera División,174.0,73.0,alto,83,65,53,71,68,82,77
231,201862,Marcos Rojo,Manchester United,27,English Premier League,187.0,80.0,alto,83,71,59,69,68,81,83
265,179847,Federico Fazio,Roma,30,Italian Serie A,195.0,85.0,alto,82,30,41,54,54,84,81
352,188988,Manuel Lanzini,West Ham United,24,English Premier League,167.0,59.0,alto,87,82,71,78,86,28,55
359,183900,Diego Perotti,Roma,28,Italian Serie A,179.0,70.0,alto,81,81,71,78,85,32,59
381,142780,Gonzalo Rodríguez,San Lorenzo de Almagro,33,Argentinian Superliga,182.0,79.0,alto,81,68,47,61,65,83,76
394,214997,Ángel Correa,Atlético Madrid,22,Spanish Primera División,173.0,69.0,alto,87,82,80,66,86,49,59
411,207439,Leandro Paredes,Zenit St. Petersburg,23,Russian Premier League,180.0,75.0,alto,85,72,67,81,79,70,73
448,193061,Roberto Pereyra,Watford,26,English Premier League,182.0,77.0,alto,83,78,68,80,81,66,68
453,190972,Eduardo Salvio,SL Benfica,26,Portuguese Primeira Liga,173.0,77.0,alto,80,87,74,74,80,44,70
479,176915,Augusto Fernández,Atlético Madrid,31,Spanish Primera División,178.0,74.0,alto,80,69,70,77,79,68,75
481,176376,Ignacio Piatti,Montreal Impact,32,USA Major League Soccer,180.0,76.0,alto,80,77,81,73,85,52,74
487,173373,Sergio Romero,Manchester United,30,English Premier League,192.0,87.0,alto,80,78,76,81,82,45,78
492,170368,Erik Lamela,Tottenham Hotspur,25,English Premier League,181.0,80.0,alto,83,76,77,79,82,45,67
498,165536,Gustavo Cabral,RC Celta de Vigo,31,Spanish Primera División,182.0,81.0,alto,80,42,31,56,56,81,78
510,143587,Fernando Belluschi,San Lorenzo de Almagro,33,Argentinian Superliga,173.0,78.0,alto,80,70,75,81,79,59,69
529,224334,Marcos Acuña,Sporting CP,25,Portuguese Primeira Liga,172.0,69.0,alto,82,84,72,78,80,57,76
536,215259,Emiliano Rigoni,Zenit St. Petersburg,24,Russian Premier League,178.0,74.0,alto,85,86,73,76,79,43,61
537,215057,Iván Marcone,Club Atlético Lanús,27,Argentinian Superliga,183.0,83.0,alto,82,49,58,70,68,76,80
548,211256,Nicolás Tagliafico,Independiente,24,Argentinian Superliga,172.0,67.0,alto,84,88,55,66,76,78,72
555,207441,Luciano Vietto,Atlético Madrid,23,Spanish Primera División,173.0,70.0,alto,86,75,78,72,85,36,62
573,201988,Federico Fernández,Swansea City,28,English Premier League,189.0,83.0,alto,79,48,28,51,50,81,76
